Maskapai,Tanggal,Waktu Berangkat,Waktu Datang,Durasi,Transit,Harga Tiket
"China Eastern, JAL",2025-11-01,11:45 PM,7:35 PM +1 (2025-11-02),17 hr 50 min,2 stops,"IDR 11,630,900"
Singapore Airlines,2025-11-01,11:10 AM,9:40 PM +1 (2025-11-02),32 hr 30 min,1 stop,"IDR 11,716,300"
"Scoot, Singapore Airlines",2025-11-01,9:35 AM,9:40 PM (2025-11-01),10 hr 5 min,1 stop,"IDR 11,916,200"
Garuda Indonesia,2025-11-01,7:05 AM,8:50 AM +1 (2025-11-02),23 hr 45 min,1 stop,"IDR 11,945,420"
Garuda Indonesia,2025-11-01,2:30 PM,8:50 AM +1 (2025-11-02),16 hr 20 min,1 stop,"IDR 11,945,420"
Garuda Indonesia,2025-11-01,3:50 PM,8:50 AM +1 (2025-11-02),15 hr,1 stop,"IDR 11,945,420"
Garuda Indonesia,2025-11-01,5:00 PM,8:50 AM +1 (2025-11-02),13 hr 50 min,1 stop,"IDR 11,945,420"
Garuda Indonesia,2025-11-01,6:30 PM,8:50 AM +1 (2025-11-02),12 hr 20 min,1 stop,"IDR 11,945,420"
Garuda Indonesia,2025-11-01,7:30 PM,8:50 AM +1 (2025-11-02),11 hr 20 min,1 stop,"IDR 11,945,420"
"China Eastern, JAL",2025-11-01,11:45 PM,5:40 PM +1 (2025-11-02),15 hr 55 min,2 stops,"IDR 11,995,300"
Garuda Indonesia,2025-11-01,5:30 PM,8:50 AM +1 (2025-11-02),13 hr 20 min,1 stop,"IDR 11,999,100"
Garuda Indonesia,2025-11-01,1:00 PM,8:50 AM +2 (2025-11-03),41 hr 50 min,2 stops,"IDR 12,217,680"
"China Eastern, ANA + Operated by ANA Wings",2025-11-01,11:45 PM,6:15 PM +1 (2025-11-02),16 hr 30 min,2 stops,"IDR 12,274,900"
"Korean Air, Asiana Airlines",2025-11-01,9:50 PM,9:00 PM +1 (2025-11-02),21 hr 10 min,1 stop,"IDR 13,024,900"
"Asiana Airlines, Korean Air",2025-11-01,10:30 PM,9:05 PM +1 (2025-11-02),20 hr 35 min,1 stop,"IDR 13,024,900"
"Garuda Indonesia, Asiana Airlines + Korean Air",2025-11-01,11:30 PM,9:00 PM +1 (2025-11-02),19 hr 30 min,1 stop,"IDR 13,024,900"
"Garuda Indonesia, Asiana Airlines + Korean Air",2025-11-01,11:30 PM,11:25 PM +1 (2025-11-02),21 hr 55 min,1 stop,"IDR 13,024,900"
JAL + Garuda Indonesia,2025-11-01,9:25 PM,6:40 AM +1 (2025-11-02),7 hr 15 min,Nonstop,"IDR 14,183,200"
Garuda Indonesia + JAL,2025-11-01,11:45 PM,8:50 AM +1 (2025-11-02),7 hr 5 min,Nonstop,"IDR 14,203,100"
"China Eastern, JAL",2025-11-01,11:45 PM,4:45 PM +1 (2025-11-02),15 hr,2 stops,"IDR 14,318,700"
ANA,2025-11-01,7:15 AM,4:25 PM (2025-11-01),7 hr 10 min,Nonstop,"IDR 14,601,900"
"Philippine Airlines, Asiana Airlines",2025-11-01,1:20 AM,9:00 PM (2025-11-01),17 hr 40 min,2 stops,"IDR 15,311,800"
"Garuda Indonesia, ANA",2025-11-01,5:50 AM,6:25 PM (2025-11-01),10 hr 35 min,1 stop,"IDR 15,402,200"
"Singapore Airlines, ANA + Operated by Air Japan",2025-11-01,5:25 AM,5:55 AM +1 (2025-11-02),22 hr 30 min,1 stop,"IDR 15,418,700"
Korean Air,2025-11-01,9:50 PM,10:50 PM +1 (2025-11-02),23 hr,1 stop,"IDR 16,024,900"
Korean Air,2025-11-01,9:50 PM,6:35 PM +1 (2025-11-02),18 hr 45 min,1 stop,"IDR 16,190,600"
"Garuda Indonesia, Korean Air",2025-11-01,11:30 PM,6:35 PM +1 (2025-11-02),17 hr 5 min,1 stop,"IDR 16,190,600"
"Garuda Indonesia, Korean Air",2025-11-01,11:30 PM,9:35 PM +1 (2025-11-02),20 hr 5 min,1 stop,"IDR 16,190,600"
"China Eastern, JAL",2025-11-01,11:45 PM,1:45 PM +1 (2025-11-02),12 hr,1 stop,"IDR 21,797,000"
"China Eastern, JAL",2025-11-01,11:45 PM,6:00 PM +1 (2025-11-02),16 hr 15 min,1 stop,"IDR 21,797,000"
"EVA Air, ANA",2025-11-01,2:35 PM,5:30 PM +1 (2025-11-02),24 hr 55 min,1 stop,"IDR 24,060,400"
"EVA Air, ANA",2025-11-01,2:35 PM,8:40 PM +1 (2025-11-02),28 hr 5 min,1 stop,"IDR 24,060,400"
"Garuda Indonesia, EVA Air + ANA",2025-11-01,5:30 PM,12:55 PM +2 (2025-11-03),41 hr 25 min,2 stops,"IDR 24,136,100"
"Philippine Airlines, JAL",2025-11-01,1:20 AM,3:45 PM (2025-11-01),12 hr 25 min,2 stops,"IDR 24,516,600"
"Philippine Airlines, JAL",2025-11-01,1:20 AM,10:20 PM (2025-11-01),19 hr,2 stops,"IDR 24,516,600"
"Philippine Airlines, JAL",2025-11-01,1:20 AM,10:15 PM (2025-11-01),18 hr 55 min,2 stops,"IDR 25,584,200"
"Garuda Indonesia, EVA Air, Cathay Pacific",2025-11-01,5:30 PM,4:50 PM +2 (2025-11-03),45 hr 20 min,2 stops,"IDR 26,145,700"
"Philippine Airlines, ANA",2025-11-01,1:20 AM,6:45 PM (2025-11-01),15 hr 25 min,2 stops,"IDR 26,155,200"
"Philippine Airlines, ANA",2025-11-01,1:20 AM,7:10 PM (2025-11-01),15 hr 50 min,2 stops,"IDR 26,155,200"
"Philippine Airlines, ANA",2025-11-01,1:20 AM,7:30 PM (2025-11-01),16 hr 10 min,2 stops,"IDR 26,155,200"
